TimeSeries ID,telemetry-explorer-0-0
Tue Mar 25 2025 12:03:00 GMT+0800 (Malaysia Time),4867099.199999998
Tue Mar 25 2025 12:04:00 GMT+0800 (Malaysia Time),5535567.183333331
Tue Mar 25 2025 12:05:00 GMT+0800 (Malaysia Time),8913979.7
Tue Mar 25 2025 12:06:00 GMT+0800 (Malaysia Time),11750161.516666664
Tue Mar 25 2025 12:07:00 GMT+0800 (Malaysia Time),12360724.683333335
Tue Mar 25 2025 12:08:00 GMT+0800 (Malaysia Time),12661932.066666663
Tue Mar 25 2025 12:09:00 GMT+0800 (Malaysia Time),9419541.266666666
Tue Mar 25 2025 12:10:00 GMT+0800 (Malaysia Time),5778504.333333328
Tue Mar 25 2025 12:11:00 GMT+0800 (Malaysia Time),7074051.650000003
Tue Mar 25 2025 12:12:00 GMT+0800 (Malaysia Time),8770120.63333333
Tue Mar 25 2025 12:13:00 GMT+0800 (Malaysia Time),9429781.999999994
Tue Mar 25 2025 12:14:00 GMT+0800 (Malaysia Time),9319374.416666662
Tue Mar 25 2025 12:15:00 GMT+0800 (Malaysia Time),6951563.600000004
Tue Mar 25 2025 12:16:00 GMT+0800 (Malaysia Time),6697577.033333335
Tue Mar 25 2025 12:17:00 GMT+0800 (Malaysia Time),6844739.866666662
Tue Mar 25 2025 12:18:00 GMT+0800 (Malaysia Time),5136078.050000004
Tue Mar 25 2025 12:19:00 GMT+0800 (Malaysia Time),4853696.6499999985
Tue Mar 25 2025 12:20:00 GMT+0800 (Malaysia Time),5240360.916666671
Tue Mar 25 2025 12:21:00 GMT+0800 (Malaysia Time),5124885.033333335
Tue Mar 25 2025 12:22:00 GMT+0800 (Malaysia Time),4530714.150000001
Tue Mar 25 2025 12:23:00 GMT+0800 (Malaysia Time),4589670.150000002
Tue Mar 25 2025 12:24:00 GMT+0800 (Malaysia Time),4706359.8999999985
Tue Mar 25 2025 12:25:00 GMT+0800 (Malaysia Time),4113141.566666668
Tue Mar 25 2025 12:26:00 GMT+0800 (Malaysia Time),4101905.366666667
Tue Mar 25 2025 12:27:00 GMT+0800 (Malaysia Time),4042792.7499999986
