TimeSeries ID,telemetry-explorer-0-0
Tue Mar 25 2025 12:03:00 GMT+0800 (Malaysia Time),22066388992
Tue Mar 25 2025 12:04:00 GMT+0800 (Malaysia Time),22125588480
Tue Mar 25 2025 12:05:00 GMT+0800 (Malaysia Time),44347346944
Tue Mar 25 2025 12:06:00 GMT+0800 (Malaysia Time),56949608448
Tue Mar 25 2025 12:07:00 GMT+0800 (Malaysia Time),57723617280
Tue Mar 25 2025 12:08:00 GMT+0800 (Malaysia Time),56634183680
Tue Mar 25 2025 12:09:00 GMT+0800 (Malaysia Time),31871000576
Tue Mar 25 2025 12:10:00 GMT+0800 (Malaysia Time),22985543680
Tue Mar 25 2025 12:11:00 GMT+0800 (Malaysia Time),35992842240
Tue Mar 25 2025 12:12:00 GMT+0800 (Malaysia Time),45562920960
Tue Mar 25 2025 12:13:00 GMT+0800 (Malaysia Time),45781389312
Tue Mar 25 2025 12:14:00 GMT+0800 (Malaysia Time),37535772672
Tue Mar 25 2025 12:15:00 GMT+0800 (Malaysia Time),30458269696
Tue Mar 25 2025 12:16:00 GMT+0800 (Malaysia Time),34674401280
Tue Mar 25 2025 12:17:00 GMT+0800 (Malaysia Time),32227610624
Tue Mar 25 2025 12:18:00 GMT+0800 (Malaysia Time),23288422400
Tue Mar 25 2025 12:19:00 GMT+0800 (Malaysia Time),26949328896
Tue Mar 25 2025 12:20:00 GMT+0800 (Malaysia Time),28271312896
Tue Mar 25 2025 12:21:00 GMT+0800 (Malaysia Time),25571561472
Tue Mar 25 2025 12:22:00 GMT+0800 (Malaysia Time),23322148864
Tue Mar 25 2025 12:23:00 GMT+0800 (Malaysia Time),25108324352
Tue Mar 25 2025 12:24:00 GMT+0800 (Malaysia Time),24398553088
Tue Mar 25 2025 12:25:00 GMT+0800 (Malaysia Time),22222385152
Tue Mar 25 2025 12:26:00 GMT+0800 (Malaysia Time),22754201600
Tue Mar 25 2025 12:27:00 GMT+0800 (Malaysia Time),23114850304
