TimeSeries ID,telemetry-explorer-0-0
Tue Mar 25 2025 11:00:00 GMT+0800 (Malaysia Time),1739387.750000001
Tue Mar 25 2025 11:01:00 GMT+0800 (Malaysia Time),21752722.916666664
Tue Mar 25 2025 11:02:00 GMT+0800 (Malaysia Time),160077999.46666673
Tue Mar 25 2025 11:03:00 GMT+0800 (Malaysia Time),21199298.81666667
Tue Mar 25 2025 11:04:00 GMT+0800 (Malaysia Time),2255129.916666666
Tue Mar 25 2025 11:05:00 GMT+0800 (Malaysia Time),1710945.616666665
Tue Mar 25 2025 11:06:00 GMT+0800 (Malaysia Time),1745489.0333333323
Tue Mar 25 2025 11:07:00 GMT+0800 (Malaysia Time),1538361.333333334
Tue Mar 25 2025 11:08:00 GMT+0800 (Malaysia Time),1487137.0833333335
Tue Mar 25 2025 11:09:00 GMT+0800 (Malaysia Time),1476161.2333333334
Tue Mar 25 2025 11:10:00 GMT+0800 (Malaysia Time),1743018.1166666662
Tue Mar 25 2025 11:11:00 GMT+0800 (Malaysia Time),1751833.7500000005
Tue Mar 25 2025 11:12:00 GMT+0800 (Malaysia Time),1501171.0000000007
Tue Mar 25 2025 11:13:00 GMT+0800 (Malaysia Time),1522106.9833333334
Tue Mar 25 2025 11:14:00 GMT+0800 (Malaysia Time),1507362.366666668
Tue Mar 25 2025 11:15:00 GMT+0800 (Malaysia Time),1740492.5166666673
Tue Mar 25 2025 11:16:00 GMT+0800 (Malaysia Time),1809021.4166666663
Tue Mar 25 2025 11:17:00 GMT+0800 (Malaysia Time),1537293.3666666662
Tue Mar 25 2025 11:18:00 GMT+0800 (Malaysia Time),1509346.7000000002
Tue Mar 25 2025 11:19:00 GMT+0800 (Malaysia Time),1456724.4499999993
Tue Mar 25 2025 11:20:00 GMT+0800 (Malaysia Time),1699928.7000000011
Tue Mar 25 2025 11:21:00 GMT+0800 (Malaysia Time),1807410.5666666673
Tue Mar 25 2025 11:22:00 GMT+0800 (Malaysia Time),23973793.88333334
Tue Mar 25 2025 11:23:00 GMT+0800 (Malaysia Time),346329491.8166665
Tue Mar 25 2025 11:24:00 GMT+0800 (Malaysia Time),72635206.64999993
Tue Mar 25 2025 11:25:00 GMT+0800 (Malaysia Time),2067292.8666666676
Tue Mar 25 2025 11:26:00 GMT+0800 (Malaysia Time),4595288.5666666655
Tue Mar 25 2025 11:27:00 GMT+0800 (Malaysia Time),30921525.083333347
Tue Mar 25 2025 11:28:00 GMT+0800 (Malaysia Time),11452099.316666665
Tue Mar 25 2025 11:29:00 GMT+0800 (Malaysia Time),2610357.199999998
Tue Mar 25 2025 11:30:00 GMT+0800 (Malaysia Time),2546861.133333334
Tue Mar 25 2025 11:31:00 GMT+0800 (Malaysia Time),2074031.0999999999
Tue Mar 25 2025 11:32:00 GMT+0800 (Malaysia Time),1818212.1333333328
Tue Mar 25 2025 11:33:00 GMT+0800 (Malaysia Time),1883642.599999999
Tue Mar 25 2025 11:34:00 GMT+0800 (Malaysia Time),1942757.2333333332
Tue Mar 25 2025 11:35:00 GMT+0800 (Malaysia Time),1800753.5166666673
Tue Mar 25 2025 11:36:00 GMT+0800 (Malaysia Time),2050227.0333333341
Tue Mar 25 2025 11:37:00 GMT+0800 (Malaysia Time),1818115.5000000002
Tue Mar 25 2025 11:38:00 GMT+0800 (Malaysia Time),1852695.0166666675
Tue Mar 25 2025 11:39:00 GMT+0800 (Malaysia Time),2030379.0166666668
Tue Mar 25 2025 11:40:00 GMT+0800 (Malaysia Time),14700269.116666663
Tue Mar 25 2025 11:41:00 GMT+0800 (Malaysia Time),12020379.100000005
Tue Mar 25 2025 11:42:00 GMT+0800 (Malaysia Time),3324805.966666668
Tue Mar 25 2025 11:43:00 GMT+0800 (Malaysia Time),4571818.349999999
Tue Mar 25 2025 11:44:00 GMT+0800 (Malaysia Time),3867462.5166666647
Tue Mar 25 2025 11:45:00 GMT+0800 (Malaysia Time),6826106.083333332
Tue Mar 25 2025 11:46:00 GMT+0800 (Malaysia Time),5244507.4333333345
Tue Mar 25 2025 11:47:00 GMT+0800 (Malaysia Time),5599604.2333333315
Tue Mar 25 2025 11:48:00 GMT+0800 (Malaysia Time),9140222.283333339
Tue Mar 25 2025 11:49:00 GMT+0800 (Malaysia Time),7423232.050000002
Tue Mar 25 2025 11:50:00 GMT+0800 (Malaysia Time),8497312.533333331
Tue Mar 25 2025 11:51:00 GMT+0800 (Malaysia Time),6702268.3999999985
Tue Mar 25 2025 11:52:00 GMT+0800 (Malaysia Time),6944666.316666665
Tue Mar 25 2025 11:53:00 GMT+0800 (Malaysia Time),11083901.400000002
Tue Mar 25 2025 11:54:00 GMT+0800 (Malaysia Time),6436141.466666664
Tue Mar 25 2025 11:55:00 GMT+0800 (Malaysia Time),8417116.48333334
Tue Mar 25 2025 11:56:00 GMT+0800 (Malaysia Time),9122131.799999999
Tue Mar 25 2025 11:57:00 GMT+0800 (Malaysia Time),7639567.433333331
Tue Mar 25 2025 11:58:00 GMT+0800 (Malaysia Time),8014076.583333336
