sender_id,receiver_id,message,event_type,received_timestamp,propagation_time,detail
10.60.2.6,10.60.3.25,0c28-cubaan70-0,received,1.7428698536456876e+18,6.282623,(gossip-deployment-575cd74f7-hn959(10.60.3.25) received: '0c28-cubaan70-0' from 10.60.2.6 in 6.28 ms 
10.60.2.6,10.60.4.29,0c28-cubaan70-0,received,1.7428698536176476e+18,5.692514,(gossip-deployment-575cd74f7-gcnvm(10.60.4.29) received: '0c28-cubaan70-0' from 10.60.2.6 in 5.69 ms 
10.60.2.6,10.60.3.23,0c28-cubaan70-0,received,1.7428698534650831e+18,8.572884,(gossip-deployment-575cd74f7-8mt6m(10.60.3.23) received: '0c28-cubaan70-0' from 10.60.2.6 in 8.57 ms 
10.60.2.6,10.60.4.22,0c28-cubaan70-0,received,1.7428698535100552e+18,14.02552,(gossip-deployment-575cd74f7-bjdcs(10.60.4.22) received: '0c28-cubaan70-0' from 10.60.2.6 in 14.03 ms 
10.60.2.6,10.60.3.24,0c28-cubaan70-0,received,1.742869853638036e+18,5.588526,(gossip-deployment-575cd74f7-hgf8b(10.60.3.24) received: '0c28-cubaan70-0' from 10.60.2.6 in 5.59 ms 
10.60.2.6,10.60.4.24,0c28-cubaan70-0,received,1.7428698535215268e+18,9.506834,(gossip-deployment-575cd74f7-bnlgp(10.60.4.24) received: '0c28-cubaan70-0' from 10.60.2.6 in 9.51 ms 
10.60.2.6,10.60.4.23,0c28-cubaan70-0,received,1.7428698534774198e+18,10.124892,(gossip-deployment-575cd74f7-8qwb7(10.60.4.23) received: '0c28-cubaan70-0' from 10.60.2.6 in 10.12 ms 
10.60.2.6,10.60.4.28,0c28-cubaan70-0,received,1.7428698539734113e+18,5.479031,(gossip-deployment-575cd74f7-zvr96(10.60.4.28) received: '0c28-cubaan70-0' from 10.60.2.6 in 5.48 ms 
10.60.2.6,10.60.4.20,0c28-cubaan70-0,received,1.7428698537410371e+18,5.563256,(gossip-deployment-575cd74f7-kz8n5(10.60.4.20) received: '0c28-cubaan70-0' from 10.60.2.6 in 5.56 ms 
10.60.2.6,10.60.4.30,0c28-cubaan70-0,received,1.7428698534550746e+18,13.041944,(gossip-deployment-575cd74f7-88zft(10.60.4.30) received: '0c28-cubaan70-0' from 10.60.2.6 in 13.04 ms 
10.60.2.6,10.60.5.16,0c28-cubaan70-0,received,1.7428698537287526e+18,5.597804,(gossip-deployment-575cd74f7-k29qq(10.60.5.16) received: '0c28-cubaan70-0' from 10.60.2.6 in 5.60 ms 
10.60.2.6,10.60.3.30,0c28-cubaan70-0,received,1.7428698536933934e+18,7.17485,(gossip-deployment-575cd74f7-jr2bn(10.60.3.30) received: '0c28-cubaan70-0' from 10.60.2.6 in 7.17 ms 
10.60.2.6,10.60.4.19,0c28-cubaan70-0,received,1.7428698537943291e+18,5.257913,(gossip-deployment-575cd74f7-pmsvk(10.60.4.19) received: '0c28-cubaan70-0' from 10.60.2.6 in 5.26 ms 
