sender_id,receiver_id,message,event_type,received_timestamp,propagation_time,detail
10.60.2.235,10.60.5.250,5649-cubaan10-0,received,1.7428668959622656e+18,23.469543,(gossip-deployment-69569684cf-2jlmv(10.60.5.250) received: '5649-cubaan10-0' from 10.60.2.235 in 23.47 ms 
10.60.2.235,10.60.2.235,5649-cubaan10-0,initiate,1.7428668958460262e+18,,Gossip initiated by gossip-deployment-69569684cf-s9b8s (10.60.2.235) at 2025-03-25 01:41:35
10.60.2.235,10.60.2.236,5649-cubaan10-0,received,1.7428668959705126e+18,4.69437,(gossip-deployment-69569684cf-cvwx4(10.60.2.236) received: '5649-cubaan10-0' from 10.60.2.235 in 4.69 ms 
10.60.2.235,10.60.0.190,5649-cubaan10-0,received,1.7428668960352701e+18,20.368788,(gossip-deployment-69569684cf-k5jmg(10.60.0.190) received: '5649-cubaan10-0' from 10.60.2.235 in 20.37 ms 
10.60.2.235,10.60.1.195,5649-cubaan10-0,received,1.74286689605678e+18,11.170344,(gossip-deployment-69569684cf-s5nzx(10.60.1.195) received: '5649-cubaan10-0' from 10.60.2.235 in 11.17 ms 
10.60.2.235,10.60.3.253,5649-cubaan10-0,received,1.742866896044447e+18,7.532272,(gossip-deployment-69569684cf-ksncw(10.60.3.253) received: '5649-cubaan10-0' from 10.60.2.235 in 7.53 ms 
10.60.2.235,10.60.4.4,5649-cubaan10-0,received,1.742866896065239e+18,6.983682,(gossip-deployment-69569684cf-tv4dp(10.60.4.4) received: '5649-cubaan10-0' from 10.60.2.235 in 6.98 ms 
10.60.2.235,10.60.5.249,5649-cubaan10-0,received,1.7428668960138826e+18,5.362956,(gossip-deployment-69569684cf-grp98(10.60.5.249) received: '5649-cubaan10-0' from 10.60.2.235 in 5.36 ms 
10.60.2.235,10.60.3.254,5649-cubaan10-0,received,1.7428668960065462e+18,23.67383,(gossip-deployment-69569684cf-gdzmp(10.60.3.254) received: '5649-cubaan10-0' from 10.60.2.235 in 23.67 ms 
10.60.2.235,10.60.4.254,5649-cubaan10-0,received,1.742866895981524e+18,8.94621,(gossip-deployment-69569684cf-d9z7j(10.60.4.254) received: '5649-cubaan10-0' from 10.60.2.235 in 8.95 ms 
10.60.0.190,10.60.3.253,5649-cubaan10-1,received,1.7428669044183549e+18,4.771872,(gossip-deployment-69569684cf-ksncw(10.60.3.253) received: '5649-cubaan10-1' from 10.60.0.190 in 4.77 ms 
10.60.0.190,10.60.4.254,5649-cubaan10-1,received,1.7428669043998103e+18,4.668079,(gossip-deployment-69569684cf-d9z7j(10.60.4.254) received: '5649-cubaan10-1' from 10.60.0.190 in 4.67 ms 
10.60.0.190,10.60.5.249,5649-cubaan10-1,received,1.7428669044127063e+18,4.375268,(gossip-deployment-69569684cf-grp98(10.60.5.249) received: '5649-cubaan10-1' from 10.60.0.190 in 4.38 ms 
10.60.0.190,10.60.4.4,5649-cubaan10-1,received,1.7428669044370301e+18,5.526364,(gossip-deployment-69569684cf-tv4dp(10.60.4.4) received: '5649-cubaan10-1' from 10.60.0.190 in 5.53 ms 
10.60.0.190,10.60.3.254,5649-cubaan10-1,received,1.7428669044071022e+18,6.188191,(gossip-deployment-69569684cf-gdzmp(10.60.3.254) received: '5649-cubaan10-1' from 10.60.0.190 in 6.19 ms 
10.60.0.190,10.60.5.250,5649-cubaan10-1,received,1.742866904388649e+18,8.702512,(gossip-deployment-69569684cf-2jlmv(10.60.5.250) received: '5649-cubaan10-1' from 10.60.0.190 in 8.70 ms 
10.60.0.190,10.60.2.236,5649-cubaan10-1,received,1.7428669043941494e+18,4.546726,(gossip-deployment-69569684cf-cvwx4(10.60.2.236) received: '5649-cubaan10-1' from 10.60.0.190 in 4.55 ms 
10.60.0.190,10.60.2.235,5649-cubaan10-1,received,1.7428669044304988e+18,4.311186,(gossip-deployment-69569684cf-s9b8s(10.60.2.235) received: '5649-cubaan10-1' from 10.60.0.190 in 4.31 ms 
