sender_id,receiver_id,message,event_type,received_timestamp,propagation_time,detail
10.60.5.5,10.60.0.191,8db7-cubaan30-0,received,1.7428678122326415e+18,5.529374,(gossip-deployment-774cd8cb69-58xcs(10.60.0.191) received: '8db7-cubaan30-0' from 10.60.5.5 in 5.53 ms 
10.60.5.5,10.60.0.193,8db7-cubaan30-0,received,1.7428678122680968e+18,5.189289,(gossip-deployment-774cd8cb69-bkwpq(10.60.0.193) received: '8db7-cubaan30-0' from 10.60.5.5 in 5.19 ms 
10.60.5.5,10.60.0.192,8db7-cubaan30-0,received,1.7428678122261837e+18,5.076546,(gossip-deployment-774cd8cb69-4fg6x(10.60.0.192) received: '8db7-cubaan30-0' from 10.60.5.5 in 5.08 ms 
10.60.5.5,10.60.1.198,8db7-cubaan30-0,received,1.7428678122956846e+18,4.449864,(gossip-deployment-774cd8cb69-k4bzx(10.60.1.198) received: '8db7-cubaan30-0' from 10.60.5.5 in 4.45 ms 
10.60.5.5,10.60.1.197,8db7-cubaan30-0,received,1.7428678122902323e+18,4.792314,(gossip-deployment-774cd8cb69-jzv6r(10.60.1.197) received: '8db7-cubaan30-0' from 10.60.5.5 in 4.79 ms 
10.60.5.5,10.60.1.199,8db7-cubaan30-0,received,1.7428678123406019e+18,5.162487,(gossip-deployment-774cd8cb69-nsqlg(10.60.1.199) received: '8db7-cubaan30-0' from 10.60.5.5 in 5.16 ms 
10.60.5.5,10.60.1.196,8db7-cubaan30-0,received,1.7428678123845629e+18,4.915893,(gossip-deployment-774cd8cb69-vxgw6(10.60.1.196) received: '8db7-cubaan30-0' from 10.60.5.5 in 4.92 ms 
10.60.5.5,10.60.4.7,8db7-cubaan30-0,received,1.7428678122785933e+18,5.132558,(gossip-deployment-774cd8cb69-hppg6(10.60.4.7) received: '8db7-cubaan30-0' from 10.60.5.5 in 5.13 ms 
10.60.5.5,10.60.4.6,8db7-cubaan30-0,received,1.7428678123547615e+18,6.579992,(gossip-deployment-774cd8cb69-qbgj4(10.60.4.6) received: '8db7-cubaan30-0' from 10.60.5.5 in 6.58 ms 
10.60.5.5,10.60.4.9,8db7-cubaan30-0,received,1.7428678122201014e+18,12.302809,(gossip-deployment-774cd8cb69-2csqd(10.60.4.9) received: '8db7-cubaan30-0' from 10.60.5.5 in 12.30 ms 
10.60.5.5,10.60.3.7,8db7-cubaan30-0,received,1.7428678123198e+18,9.439695,(gossip-deployment-774cd8cb69-kztp8(10.60.3.7) received: '8db7-cubaan30-0' from 10.60.5.5 in 9.44 ms 
10.60.5.5,10.60.5.5,8db7-cubaan30-0,initiate,1.7428678120559419e+18,,Gossip initiated by gossip-deployment-774cd8cb69-qlqbx (10.60.5.5) at 2025-03-25 01:56:52
10.60.5.5,10.60.4.5,8db7-cubaan30-0,received,1.7428678123723697e+18,5.303904,(gossip-deployment-774cd8cb69-sgmsj(10.60.4.5) received: '8db7-cubaan30-0' from 10.60.5.5 in 5.30 ms 
10.60.5.5,10.60.5.252,8db7-cubaan30-0,received,1.7428678122541727e+18,3.747038,(gossip-deployment-774cd8cb69-7scgv(10.60.5.252) received: '8db7-cubaan30-0' from 10.60.5.5 in 3.75 ms 
10.60.5.5,10.60.3.6,8db7-cubaan30-0,received,1.7428678122618324e+18,6.743581,(gossip-deployment-774cd8cb69-96npk(10.60.3.6) received: '8db7-cubaan30-0' from 10.60.5.5 in 6.74 ms 
10.60.5.5,10.60.5.253,8db7-cubaan30-0,received,1.7428678122492979e+18,3.53862,(gossip-deployment-774cd8cb69-6pqvb(10.60.5.253) received: '8db7-cubaan30-0' from 10.60.5.5 in 3.54 ms 
10.60.5.5,10.60.3.2,8db7-cubaan30-0,received,1.7428678123918528e+18,6.347416,(gossip-deployment-774cd8cb69-w7vrv(10.60.3.2) received: '8db7-cubaan30-0' from 10.60.5.5 in 6.35 ms 
10.60.5.5,10.60.3.8,8db7-cubaan30-0,received,1.7428678122448911e+18,5.794646,(gossip-deployment-774cd8cb69-66jhf(10.60.3.8) received: '8db7-cubaan30-0' from 10.60.5.5 in 5.79 ms 
10.60.5.5,10.60.3.5,8db7-cubaan30-0,received,1.7428678123085834e+18,7.417624,(gossip-deployment-774cd8cb69-km65g(10.60.3.5) received: '8db7-cubaan30-0' from 10.60.5.5 in 7.42 ms 
10.60.5.5,10.60.3.4,8db7-cubaan30-0,received,1.7428678123334513e+18,6.348932,(gossip-deployment-774cd8cb69-mdgpk(10.60.3.4) received: '8db7-cubaan30-0' from 10.60.5.5 in 6.35 ms 
10.60.5.5,10.60.5.4,8db7-cubaan30-0,received,1.7428678123659702e+18,3.222632,(gossip-deployment-774cd8cb69-rqrb6(10.60.5.4) received: '8db7-cubaan30-0' from 10.60.5.5 in 3.22 ms 
10.60.5.5,10.60.4.8,8db7-cubaan30-0,received,1.7428678123985116e+18,5.381077,(gossip-deployment-774cd8cb69-zh8bp(10.60.4.8) received: '8db7-cubaan30-0' from 10.60.5.5 in 5.38 ms 
10.60.5.5,10.60.5.251,8db7-cubaan30-0,received,1.7428678122726016e+18,3.39392,(gossip-deployment-774cd8cb69-c8spt(10.60.5.251) received: '8db7-cubaan30-0' from 10.60.5.5 in 3.39 ms 
10.60.5.5,10.60.5.254,8db7-cubaan30-0,received,1.74286781230001e+18,3.030796,(gossip-deployment-774cd8cb69-kl4hq(10.60.5.254) received: '8db7-cubaan30-0' from 10.60.5.5 in 3.03 ms 
10.60.5.5,10.60.2.242,8db7-cubaan30-0,received,1.7428678122382769e+18,4.762114,(gossip-deployment-774cd8cb69-5cnqg(10.60.2.242) received: '8db7-cubaan30-0' from 10.60.5.5 in 4.76 ms 
10.60.5.5,10.60.2.239,8db7-cubaan30-0,received,1.7428678123787366e+18,5.059427,(gossip-deployment-774cd8cb69-v52wk(10.60.2.239) received: '8db7-cubaan30-0' from 10.60.5.5 in 5.06 ms 
10.60.5.5,10.60.2.241,8db7-cubaan30-0,received,1.7428678122845632e+18,4.9284,(gossip-deployment-774cd8cb69-jl5pv(10.60.2.241) received: '8db7-cubaan30-0' from 10.60.5.5 in 4.93 ms 
10.60.5.5,10.60.2.238,8db7-cubaan30-0,received,1.7428678123262318e+18,4.884204,(gossip-deployment-774cd8cb69-lvv6w(10.60.2.238) received: '8db7-cubaan30-0' from 10.60.5.5 in 4.88 ms 
10.60.5.5,10.60.2.240,8db7-cubaan30-0,received,1.7428678123472456e+18,5.833402,(gossip-deployment-774cd8cb69-psqtb(10.60.2.240) received: '8db7-cubaan30-0' from 10.60.5.5 in 5.83 ms 
10.60.5.5,10.60.2.237,8db7-cubaan30-0,received,1.7428678123611781e+18,5.077694,(gossip-deployment-774cd8cb69-qt5df(10.60.2.237) received: '8db7-cubaan30-0' from 10.60.5.5 in 5.08 ms 
10.60.5.253,10.60.2.239,8db7-cubaan30-1,received,1.7428678214600681e+18,4.49998,(gossip-deployment-774cd8cb69-v52wk(10.60.2.239) received: '8db7-cubaan30-1' from 10.60.5.253 in 4.50 ms 
10.60.5.253,10.60.2.242,8db7-cubaan30-1,received,1.74286782131093e+18,4.35283,(gossip-deployment-774cd8cb69-5cnqg(10.60.2.242) received: '8db7-cubaan30-1' from 10.60.5.253 in 4.35 ms 
10.60.5.253,10.60.2.237,8db7-cubaan30-1,received,1.7428678214452836e+18,4.739727,(gossip-deployment-774cd8cb69-qt5df(10.60.2.237) received: '8db7-cubaan30-1' from 10.60.5.253 in 4.74 ms 
10.60.5.253,10.60.0.192,8db7-cubaan30-1,received,1.7428678213011784e+18,4.304147,(gossip-deployment-774cd8cb69-4fg6x(10.60.0.192) received: '8db7-cubaan30-1' from 10.60.5.253 in 4.30 ms 
