sender_id,receiver_id,message,event_type,received_timestamp,propagation_time,detail
10.60.3.9,10.60.3.9,ea4b-cubaan50-0,initiate,1.7428688203054915e+18,,Gossip initiated by gossip-deployment-65b5758cb7-6hvkv (10.60.3.9) at 2025-03-25 02:13:40
10.60.3.9,10.60.5.12,ea4b-cubaan50-0,received,1.7428688206777446e+18,5.628675,(gossip-deployment-65b5758cb7-4cwq9(10.60.5.12) received: 'ea4b-cubaan50-0' from 10.60.3.9 in 5.63 ms 
10.60.3.9,10.60.5.11,ea4b-cubaan50-0,received,1.7428688209354941e+18,5.260952,(gossip-deployment-65b5758cb7-rp8nc(10.60.5.11) received: 'ea4b-cubaan50-0' from 10.60.3.9 in 5.26 ms 
10.60.3.9,10.60.5.9,ea4b-cubaan50-0,received,1.7428688209228649e+18,5.805415,(gossip-deployment-65b5758cb7-rbgl8(10.60.5.9) received: 'ea4b-cubaan50-0' from 10.60.3.9 in 5.81 ms 
10.60.3.9,10.60.4.10,ea4b-cubaan50-0,received,1.7428688206709494e+18,8.879256,(gossip-deployment-65b5758cb7-2ncxx(10.60.4.10) received: 'ea4b-cubaan50-0' from 10.60.3.9 in 8.88 ms 
10.60.3.9,10.60.5.6,ea4b-cubaan50-0,received,1.742868820803358e+18,5.984481,(gossip-deployment-65b5758cb7-jfkxb(10.60.5.6) received: 'ea4b-cubaan50-0' from 10.60.3.9 in 5.98 ms 
10.60.3.9,10.60.5.13,ea4b-cubaan50-0,received,1.74286882071859e+18,4.533151,(gossip-deployment-65b5758cb7-86j7p(10.60.5.13) received: 'ea4b-cubaan50-0' from 10.60.3.9 in 4.53 ms 
10.60.3.9,10.60.5.8,ea4b-cubaan50-0,received,1.7428688207004611e+18,5.282024,(gossip-deployment-65b5758cb7-75d5j(10.60.5.8) received: 'ea4b-cubaan50-0' from 10.60.3.9 in 5.28 ms 
10.60.3.9,10.60.2.245,ea4b-cubaan50-0,received,1.742868820884671e+18,8.7472,(gossip-deployment-65b5758cb7-q7pvz(10.60.2.245) received: 'ea4b-cubaan50-0' from 10.60.3.9 in 8.75 ms 
10.60.3.9,10.60.5.7,ea4b-cubaan50-0,received,1.7428688207962957e+18,5.197491,(gossip-deployment-65b5758cb7-h6wld(10.60.5.7) received: 'ea4b-cubaan50-0' from 10.60.3.9 in 5.20 ms 
10.60.3.9,10.60.5.14,ea4b-cubaan50-0,received,1.7428688209719875e+18,6.836285,(gossip-deployment-65b5758cb7-wkgkc(10.60.5.14) received: 'ea4b-cubaan50-0' from 10.60.3.9 in 6.84 ms 
10.60.3.9,10.60.5.10,ea4b-cubaan50-0,received,1.7428688207057938e+18,4.247462,(gossip-deployment-65b5758cb7-7hgzf(10.60.5.10) received: 'ea4b-cubaan50-0' from 10.60.3.9 in 4.25 ms 
10.60.3.9,10.60.2.246,ea4b-cubaan50-0,received,1.7428688207460229e+18,5.785042,(gossip-deployment-65b5758cb7-9dgwj(10.60.2.246) received: 'ea4b-cubaan50-0' from 10.60.3.9 in 5.79 ms 
10.60.3.9,10.60.2.244,ea4b-cubaan50-0,received,1.742868820900534e+18,8.842703,(gossip-deployment-65b5758cb7-qxkt6(10.60.2.244) received: 'ea4b-cubaan50-0' from 10.60.3.9 in 8.84 ms 
