TimeSeries ID,telemetry-explorer-0-0
Wed Mar 26 2025 08:55:00 GMT+0800 (Malaysia Time),21191586.93333333
Wed Mar 26 2025 08:56:00 GMT+0800 (Malaysia Time),92482114.25000001
Wed Mar 26 2025 08:57:00 GMT+0800 (Malaysia Time),47197186.46666666
Wed Mar 26 2025 08:58:00 GMT+0800 (Malaysia Time),457022.94999999995
Wed Mar 26 2025 08:59:00 GMT+0800 (Malaysia Time),5856259.200000004
Wed Mar 26 2025 09:00:00 GMT+0800 (Malaysia Time),152875612.15000004
Wed Mar 26 2025 09:01:00 GMT+0800 (Malaysia Time),209190395.95000005
Wed Mar 26 2025 09:02:00 GMT+0800 (Malaysia Time),675834.7666666665
Wed Mar 26 2025 09:03:00 GMT+0800 (Malaysia Time),586787.7166666664
Wed Mar 26 2025 09:04:00 GMT+0800 (Malaysia Time),9096682.183333337
Wed Mar 26 2025 09:05:00 GMT+0800 (Malaysia Time),7420401.1833333345
Wed Mar 26 2025 09:06:00 GMT+0800 (Malaysia Time),2261712.9500000007
Wed Mar 26 2025 09:07:00 GMT+0800 (Malaysia Time),7729538.1
Wed Mar 26 2025 09:08:00 GMT+0800 (Malaysia Time),23331436.633333333
Wed Mar 26 2025 09:09:00 GMT+0800 (Malaysia Time),4663412.266666666
Wed Mar 26 2025 09:10:00 GMT+0800 (Malaysia Time),1511686.1
Wed Mar 26 2025 09:11:00 GMT+0800 (Malaysia Time),1643956.8833333342
Wed Mar 26 2025 09:12:00 GMT+0800 (Malaysia Time),2219304.2999999993
Wed Mar 26 2025 09:13:00 GMT+0800 (Malaysia Time),1783833.5499999998
Wed Mar 26 2025 09:14:00 GMT+0800 (Malaysia Time),1766525.2500000005
Wed Mar 26 2025 09:15:00 GMT+0800 (Malaysia Time),2405277.316666667
Wed Mar 26 2025 09:16:00 GMT+0800 (Malaysia Time),2630055.700000001
Wed Mar 26 2025 09:17:00 GMT+0800 (Malaysia Time),2749041.833333335
Wed Mar 26 2025 09:18:00 GMT+0800 (Malaysia Time),1625763.7333333334
Wed Mar 26 2025 09:19:00 GMT+0800 (Malaysia Time),2469001.6000000006
